Date,JPM,MSFT,JNJ,UNH,CAT,AABA,HD,CVX,MMM,AMZN,CSCO,XOM,VZ,WMT,GS,AAPL,AXP,GOOGL,UTX,KO,MRK,TRV,IBM,INTC,PFE,GE,DIS,PG,BA,MCD,NKE
2006-02-15,0.008756567,0.010526316,0.000338524,-0.006734007,0.023881024,0.012262416,0.010462287,0.001969561,-0.007868675,0.02667364,0.017346939,-0.000835981,0.015764426,0.012961763,0.022112676,0.031282586,0.009500745,0.003219952,0.003625691,-0.001449275,0.020532099,-0.007459313,-0.000123671,0,0.005496663,-0.002385212,0.004859813,0.006025105,0.00110543,-0.00689465,0
2006-02-16,0.009147095,-0.001489758,-0.007905803,-0.01249156,0.002368018,-0.016516517,0.006008171,0.003565062,-0.00204918,-0.005588011,0.003515821,0.005843072,0.006115317,-0.004695838,-0.001368925,0.009009009,0.007955597,0.060112132,0.00172117,0.007751938,0.028,-0.015873016,0.002850768,-0.000468165,0.008203125,-0.002691388,0.005576208,0.01182939,-0.001376462,0.010558488,-0.001883239
2006-02-17,0.002951303,0.001124859,-0.001858736,-0.004291845,0.000694444,-0.003649635,0.000238949,0.006868616,0.008475735,0.006678654,-0.004012036,0.002981613,0.006657019,-0.011366073,-0.004446269,0,-0.000550661,-0.002971206,-0.005145798,0.003842459,0.001945525,-0.008525346,-0.002471882,-0.018571429,0.000775194,0.007796102,-0.005175601,0.006766793,0.005651275,-0.008523508,0.007597341
2006-02-21,0.001722865,-0.006736527,0.000169119,-0.010714286,0.008194444,-0.01550152,-0.02627907,-0.001551992,-0.006379802,-0.018456806,-0.006595637,-0.003934426,-0.013781223,0.000656312,-0.014495741,-0.020833333,-0.011743119,0.000436205,0.009957082,0.000956938,-0.025465498,0.008726415,0.004993758,-0.001936108,-0.00233463,-0.007438262,0.024519049,0,-0.001367054,-0.00613155,0.003773585
2006-02-22,0.012717046,0.007161704,0.000338926,0.020569078,0.006474721,0.02062173,-0.005934014,-0.011398964,-0.002869244,0.010702167,0.005109862,-0.005610561,-0.015353418,-0.009797518,0.014499826,0.03346856,0.016120067,-0.004516761,-0.001017984,0.000951475,0.003071768,0.001162791,0.016875,-0.013222331,0.019462826,0.002682563,0.008446566,0.015409836,0.018204216,0.005594406,0.00750469
2006-02-23,-0.003635482,-0.00261878,-0.006949153,-0.007181029,-0.009853565,0.004241139,-0.008583691,0.000700525,0.00752394,-0.01864319,0.00509684,-0.0029995,-0.002352941,0.004395604,-0.011331639,-0.000974659,0.005342668,0.034045576,-0.00560462,-0.003319109,-0.003938115,-0.004217432,-0.012315271,0.005450942,-0.003051106,0.000300752,0.009104151,-0.005982215,-0.000676133,-0.004475524,0.00744879
2006-02-24,0.017586712,0.001504325,-0.01584597,-0.003553299,0.002758621,-0.005722892,-0.004066986,0.001563586,-0.000405734,0.002614379,0.007614213,0.00132582,-0.007339988,-0.00547046,0.007759525,-0.009699321,0.005129145,0.000264774,0.009254499,0.005714286,-0.012380416,0.007339015,-0.006819591,0.00842001,0.010344828,-0.003308271,0.009743775,0.002935421,0.008961303,-0.004226543,0.007393715
2006-02-27,0.000722022,0.011214953,-0.000862664,-0.001016949,0.002728513,-0.011174872,0.015064562,-0.00954033,-0.004189189,-0.01015625,0.00604534,-0.004651163,0.001764706,0.004610318,-0.006836544,-0.013618677,-0.002369236,0.023843211,-0.002038043,0.005676443,0.009708738,0.008430913,0.008253095,0.002442599,0.007575758,0.003010235,0.013571429,-0.005350195,0.001080351,-0.001416431,0.000917431
2006-02-28,-0.010819909,-0.00296846,-0.002767687,-0.0118785,-0.000273598,-0.017468587,-0.000711238,-0.003704357,-0.001492537,-0.009261709,0.014028056,-0.002520161,-0.012888108,-0.004608295,-0.016086351,-0.04398827,-0.007734807,-0.077794715,-0.003407155,-0.013170273,-0.006554574,0.004205607,0.001747815,0.00243309,-0.015413534,-0.009939759,-0.016514406,-0.017540984,-0.016373478,-0.011048159,0
2006-03-01,0.011418853,0.005930319,0.000694203,0.006546081,0.017229591,-0.000931388,0.010438909,0.009167842,-0.007009031,-0.008811749,0.033366045,0.012586004,0.00855205,-0.00462963,0.008240597,0.004069176,0.003151066,-0.010191912,0.003418803,0.010023866,-0.00256776,-0.006728538,-0.003740648,0.003376749,0.006130268,-0.006369427,0.003214286,0,0.005374862,-0.002,-0.003693444
2006-03-02,0.000720634,-0.001850481,0.003304348,-0.007241379,0.002697599,-0.009684474,0.002607871,-0.004018169,-0.00801195,0.034792368,-0.002388915,0.013491006,-0.005847953,0.001110864,0.006500315,0.00811359,-0.006098688,0.033402808,-0.003589744,-0.003802281,0.010647482,-0.000703895,0.004902577,-0.009187621,0.002307692,0.004587156,0.001071429,-0.007334556,0.000687285,0.000286287,0.003731343
2006-03-03,0.002168675,0.004475942,-0.001390096,-0.013077594,0.003496974,-0.007886435,0.004761905,0.002639916,-0.002327173,0.008674438,0.016425121,0.002465889,-0.007389891,0.010251839,0.017421603,-0.024217962,0.002798507,-0.015909327,-0.001035912,0.003842459,0.007155123,0.012517714,0.005659665,0.017526289,0.017774343,0.009465649,0.010021475,0.00623946,0.007965939,0.002877698,0.005591799
2006-03-06,-0.0012054,-0.000371471,0.004863644,0.007104796,-0.018893206,0.001268633,-0.008538899,-0.015859031,-0.007038366,-0.012325831,0.003814974,-0.015914684,0.000890208,-0.008133656,-0.010372595,-0.033092037,0.000372232,-0.033674272,-0.003108808,0.004789272,-0.004272287,-0.00655124,0.001126267,-0.006363191,-0.006880734,0.001209921,-0.009591474,0.002015113,-0.014518318,0.001733603,0.004625347
2006-03-07,0.011214042,0.005947955,0.011993742,0.003557453,0.000410903,0.000318269,-0.006722689,-0.009489705,0.006545961,0.005992917,-0.002866699,-0.000834725,-0.006522384,0.001770303,-0.000623398,0.008519702,0.000746965,-0.001532651,0.001734605,-0.003813155,-0.001716247,0.008994083,0.003499563,-0.004466501,0.005760369,0.003329298,0.007191658,0.012424446,0.006881365,0.00260492,-0.009337068
2006-03-08,0.002651241,0.009633197,0.010146174,0.013645224,-0.008762322,-0.010220377,0.001459854,-0.003615329,-0.001792856,0.00245098,0.007242878,0.004373423,-0.002088929,0.001548673,-0.007384187,-0.009503696,0.004665049,-0.000112905,-0.001036269,0.012464046,0.002312139,0.003065315,0.011090343,0,0.002681992,0.011191773,0.002143623,0.013609959,-0.000411805,0.000288434,0.002832861
2006-03-09,-0.010843373,-0.00990099,-0.010856658,-0.020173913,-0.014220627,-0.024798712,-0.010469929,-0.018388318,-0.010064801,-0.018478261,-0.022009569,-0.017017017,0.00238806,0.000884956,-0.006729286,-0.031813362,-0.011336183,-0.034856918,-0.002259691,0.006647673,-0.001735609,-0.011032864,-0.002953483,-0.014962594,-0.002285714,-0.005392451,-0.001421969,-0.001626016,0.013883162,-0.002599653,0.006603774
2006-03-10,0.001704822,0.004065041,0.006649616,-0.003901401,-0.005606167,0.005921053,0.015009843,-0.001292705,0.005841446,-0.000551876,0.010679612,0.004412763,0.005588235,-0.002420775,-0.000706065,-0.012035011,0.018403756,-0.017449977,0.012609457,0.003284843,0.00028777,0.002131186,0.006664198,0.001008573,-0.009870919,0.011117788,0.004279601,0.013018714,0.013826759,0.001445087,-0.004686036
