Date,High,Low,Open,Close,Volume,Adj Close
1999-07-08,30.875,30.28125,30.875,30.59375,2047800.0,14.802228927612305
1999-07-09,30.78125,30.0625,30.59375,30.59375,2040200.0,14.802228927612305
1999-07-12,30.84375,30.3125,30.59375,30.5,2204000.0,14.756884574890137
1999-07-13,30.25,29.90625,30.25,29.9375,2526600.0,14.48471736907959
1999-07-14,30.125,29.75,29.9375,29.90625,2648400.0,14.469595909118652
1999-07-15,30.0625,29.25,29.90625,29.75,3807200.0,14.393999099731445
1999-07-16,29.84375,28.75,29.75,29.46875,6479400.0,14.415392875671387
1999-07-19,30.15625,29.625,29.625,30.125,3005800.0,14.736417770385742
1999-07-20,30.4375,29.96875,30.125,30.09375,3843400.0,14.721131324768066
1999-07-21,30.40625,29.96875,30.09375,30.3125,1976200.0,14.828146934509277
1999-07-22,30.40625,30.0625,30.3125,30.25,2642600.0,14.797567367553711
1999-07-23,30.625,30.1875,30.25,30.5,1325600.0,14.919865608215332
1999-07-26,31.28125,29.875,30.5,30.0,2418600.0,14.675275802612305
1999-07-27,30.375,29.96875,30.0,30.0625,1699800.0,14.705846786499023
1999-07-28,31.0,29.84375,30.0625,30.625,2041800.0,14.981009483337402
1999-07-29,30.53125,29.4375,30.53125,29.4375,2136000.0,14.400114059448242
1999-07-30,30.0,29.3125,29.4375,29.3125,3094200.0,14.338966369628906
1999-08-02,29.46875,29.1875,29.3125,29.28125,2118000.0,14.323676109313965
1999-08-03,29.46875,28.71875,29.28125,28.9375,2275600.0,14.155521392822266
1999-08-04,29.25,28.53125,28.9375,28.59375,2170800.0,13.987370491027832
1999-08-05,28.59375,27.90625,28.59375,28.0625,3563600.0,13.727499008178711
1999-08-06,28.96875,27.90625,28.0625,28.875,4272600.0,14.124951362609863
1999-08-09,29.21875,28.4375,28.875,28.875,1613000.0,14.124951362609863
1999-08-10,29.65625,28.625,28.875,29.4375,3199600.0,14.400114059448242
1999-08-11,29.75,29.0625,29.4375,29.625,1709000.0,14.491837501525879
1999-08-12,31.40625,30.5,30.5,30.5,4357000.0,14.919865608215332
1999-08-13,31.21875,30.9375,30.9375,31.125,3754600.0,15.225600242614746
1999-08-16,31.3125,30.65625,31.125,31.15625,3565000.0,15.24088191986084
1999-08-17,31.5,30.84375,31.15625,31.0,2361600.0,15.16445255279541
1999-08-18,30.9375,30.40625,30.9375,30.5,1475800.0,14.919865608215332
1999-08-19,30.6875,29.96875,30.5,30.15625,1784000.0,14.751709938049316
1999-08-20,30.34375,29.9375,30.15625,30.15625,1833600.0,14.751709938049316
1999-08-23,31.53125,30.4375,30.4375,31.46875,2567200.0,15.393749237060547
1999-08-24,31.9375,31.25,31.46875,31.5,2166800.0,15.409037590026855
1999-08-25,31.96875,31.3125,31.5,31.375,2439400.0,15.347893714904785
1999-08-26,31.84375,31.40625,31.40625,31.5625,2032200.0,15.439610481262207
1999-08-27,31.625,30.59375,31.5625,30.8125,1280400.0,15.072728157043457
1999-08-30,30.78125,29.625,30.78125,29.75,1512800.0,14.552983283996582
1999-08-31,29.75,28.3125,29.75,28.3125,4402600.0,13.8497953414917
1999-09-01,29.34375,28.59375,28.59375,29.0,2989200.0,14.18609619140625
1999-09-02,29.59375,28.6875,29.0,29.4375,2183000.0,14.400114059448242
1999-09-03,29.96875,29.375,29.4375,29.59375,2794400.0,14.476541519165039
1999-09-07,29.5,28.90625,29.5,29.1875,2475800.0,14.277820587158203
1999-09-08,29.46875,28.84375,29.1875,29.3125,1204400.0,14.338966369628906
1999-09-09,29.5625,28.875,29.3125,29.375,1693000.0,14.369540214538574
1999-09-10,29.5625,28.25,29.375,28.375,2812200.0,13.880365371704102
1999-09-13,29.8125,28.375,28.375,29.71875,3463000.0,14.537693977355957
1999-09-14,30.34375,29.09375,29.71875,29.21875,3178000.0,14.29310417175293
1999-09-15,30.03125,29.125,29.21875,29.34375,2167000.0,14.354254722595215
1999-09-16,29.3125,28.125,29.3125,28.28125,2825400.0,13.834506034851074
1999-09-17,29.53125,28.46875,28.46875,29.15625,2884400.0,14.262534141540527
1999-09-20,28.90625,28.125,28.90625,28.53125,2321600.0,13.956795692443848
1999-09-21,28.53125,27.75,28.53125,27.9375,2339800.0,13.666352272033691
1999-09-22,28.125,26.90625,27.9375,28.09375,3954000.0,13.742782592773438
1999-09-23,28.1875,27.03125,28.09375,27.15625,2407800.0,13.284181594848633
1999-09-24,27.40625,26.875,27.15625,27.0625,2399800.0,13.238326072692871
1999-09-27,27.3125,26.6875,27.0625,26.75,2341600.0,13.08544635772705
1999-09-28,26.84375,26.28125,26.75,26.53125,3967000.0,12.978446006774902
1999-09-29,27.6875,26.53125,26.53125,27.3125,2540600.0,13.360610961914062
1999-09-30,28.125,27.1875,27.3125,27.40625,2744000.0,13.406477928161621
1999-10-01,27.8125,26.75,27.40625,26.84375,1631200.0,13.131315231323242
1999-10-04,27.84375,27.5,27.5,27.53125,2565000.0,13.467623710632324
1999-10-05,27.78125,26.8125,27.53125,27.28125,2627600.0,13.345330238342285
1999-10-06,28.46875,27.375,27.375,28.28125,2574000.0,13.834506034851074
1999-10-07,28.4375,27.90625,28.28125,27.9375,1798400.0,13.666352272033691
1999-10-08,28.75,27.9375,27.9375,28.3125,2582000.0,13.8497953414917
1999-10-11,29.4375,28.59375,28.59375,29.21875,3451400.0,14.29310417175293
1999-10-12,29.375,27.5,29.21875,27.75,4078000.0,13.574628829956055
1999-10-13,28.6875,28.0625,28.0625,28.28125,3816200.0,13.834506034851074
1999-10-14,28.8125,27.1875,28.28125,27.8125,2682200.0,13.60520076751709
1999-10-15,28.375,26.65625,27.8125,28.03125,4543600.0,13.71220874786377
1999-10-18,28.4375,27.34375,28.03125,27.6875,2590000.0,13.544053077697754
1999-10-19,28.03125,27.1875,27.6875,27.5,1770800.0,13.452333450317383
1999-10-20,27.75,26.96875,27.5,27.0,2325200.0,13.207755088806152
1999-10-21,26.5625,25.78125,26.5625,26.0625,3616200.0,12.904470443725586
1999-10-22,28.03125,26.625,26.625,27.59375,3640600.0,13.662654876708984
1999-10-25,27.46875,26.71875,27.46875,26.96875,1946400.0,13.353185653686523
1999-10-26,27.8125,27.21875,27.21875,27.71875,2198600.0,13.724550247192383
1999-10-27,28.1875,27.46875,27.71875,27.6875,2693600.0,13.709067344665527
1999-10-28,27.875,26.96875,27.6875,27.375,3526400.0,13.554340362548828
1999-10-29,29.0,27.625,27.625,27.65625,4535400.0,13.693593978881836
1999-11-01,27.96875,27.1875,27.65625,27.3125,3437800.0,13.523391723632812
1999-11-02,28.53125,27.59375,27.59375,28.03125,3117400.0,13.879273414611816
1999-11-03,28.75,28.09375,28.09375,28.3125,3611400.0,14.018534660339355
1999-11-04,28.40625,27.21875,28.3125,27.28125,2102200.0,13.507925987243652
1999-11-05,28.0,27.125,27.28125,27.375,2817000.0,13.554340362548828
1999-11-08,27.40625,26.71875,27.375,27.03125,1732400.0,13.384138107299805
1999-11-09,27.0625,26.6875,27.03125,26.9375,2100200.0,13.337719917297363
1999-11-10,27.1875,26.71875,26.9375,26.875,1440200.0,13.306771278381348
1999-11-11,27.5,26.625,26.875,27.5,2285000.0,13.616232872009277
1999-11-12,27.71875,26.59375,27.5,27.5,3205400.0,13.616232872009277
1999-11-15,28.125,27.125,27.5,27.78125,2695400.0,13.755492210388184
1999-11-16,28.84375,27.8125,27.8125,28.40625,3322800.0,14.064950942993164
1999-11-17,28.53125,27.6875,28.40625,27.6875,2088800.0,13.709067344665527
1999-11-18,28.3125,27.65625,27.6875,27.96875,1994800.0,13.848333358764648
1999-11-19,26.25,24.5,26.25,24.59375,14948400.0,12.177248001098633
1999-11-22,25.46875,23.9375,24.59375,25.125,8217000.0,12.440285682678223
1999-11-23,25.125,24.46875,25.125,25.09375,3614600.0,12.424814224243164
1999-11-24,24.65625,24.0625,24.65625,24.28125,4154600.0,12.022513389587402
1999-11-26,24.15625,23.8125,24.15625,24.0625,1775200.0,11.914206504821777
1999-11-29,23.875,23.09375,23.875,23.09375,3956000.0,11.434539794921875
1999-11-30,24.09375,22.8125,23.09375,23.1875,4851400.0,11.480961799621582
1999-12-01,23.75,23.09375,23.1875,23.46875,2687200.0,11.62021255493164
1999-12-02,24.3125,23.75,23.75,23.75,3840800.0,11.75947380065918
1999-12-03,24.59375,23.71875,23.75,24.1328125,4650400.0,11.949019432067871
1999-12-06,24.3125,23.71875,24.1328125,23.8125,2518800.0,11.790420532226562
1999-12-07,23.9375,22.65625,23.8125,22.84375,4043600.0,11.31075668334961
1999-12-08,22.84375,22.34375,22.84375,22.5625,6212600.0,11.171499252319336
1999-12-09,23.25,22.71875,22.71875,22.90625,3743800.0,11.341705322265625
1999-12-10,23.53125,23.0,23.0,23.34375,4632000.0,11.558324813842773
1999-12-13,23.46875,22.875,23.34375,23.15625,3114800.0,11.465479850769043
1999-12-14,23.84375,22.75,23.15625,23.0625,4420600.0,11.419071197509766
1999-12-15,23.625,22.90625,23.0625,23.2578125,3467000.0,11.515777587890625
1999-12-16,23.75,23.0,23.2578125,23.5625,2941800.0,11.66663932800293
1999-12-17,23.71875,22.46875,23.5625,22.46875,5323000.0,11.125085830688477
1999-12-20,22.875,22.46875,22.46875,22.5625,2833400.0,11.171499252319336
1999-12-21,22.5,21.5625,22.5,22.1875,3504600.0,10.985821723937988
1999-12-22,22.40625,21.6875,22.1875,21.6875,2524200.0,10.738253593444824
1999-12-23,22.71875,22.03125,22.03125,22.40625,2219200.0,11.09414291381836
1999-12-27,23.46875,22.625,22.625,23.21875,3487600.0,11.496434211730957
1999-12-28,24.03125,23.1875,23.21875,23.78125,3093600.0,11.774945259094238
1999-12-29,24.03125,23.125,23.78125,23.25,3186400.0,11.511905670166016
1999-12-30,23.78125,22.9375,23.25,23.0,2714800.0,11.388127326965332
